subject,stimulus,response,goodness,reactionTime,tipo,sexoLector,sexoInform,Edad,RespuestaCorrecta
B,l2f2,e,4,10.27053952217102,l,f,,,0
B,o1m3,e,4,16.76683473587036,o,m,,,1
B,o3m1,e,3,16.963822841644287,o,m,,,1
C,l3f1,l,4,24.600542545318604,l,f,,,1
C,l1f3,l,5,13.715392827987671,l,f,,,1
C,o2m2,l,5,10.450640678405762,o,m,,,0
D,o1f2,l,3,36.82171988487244,o,f,,,0
D,o3f3,l,4,29.209871768951416,o,f,,,0
D,l2m3,e,5,4.486128091812134,l,m,,,0
B,o3m1,l,4,24.783225297927856,o,m,,,0
B,l2f2,l,5,3.842298984527588,l,f,,,1
B,o1m3,e,3,28.308991193771362,o,m,,,1
B,o3m1,e,3,34.67237210273743,o,m,,,1
B,o1m3,e,4,24.461204051971436,o,m,,,1
B,l2f2,l,4,13.520909070968628,l,f,,,1
D,o3f3,e,3,32.719664096832275,o,f,,,1
D,l2m3,e,4,22.683061361312866,l,m,,,0
D,o1f2,e,4,20.307669401168823,o,f,,,1
C,o2m2,l,5,4.759871244430542,o,m,,,0
C,l3f1,e,1,2.5695137977600098,l,f,,,0
C,l1f3,l,5,11.255136489868164,l,f,,,1
B,o3m1,e,4,19.385076999664307,o,m,,,1
B,o1m3,e,4,5.6233298778533936,o,m,,,1
B,l2f2,l,5,3.568640947341919,l,f,,,1
B,o1m3,e,5,5.1991941928863525,o,m,,,1
B,o3m1,l,3,10.345805883407593,o,m,,,0
B,l2f2,l,5,3.090338945388794,l,f,,,1
D,l2m3,l,4,9.94032621383667,l,m,,,1
D,o3f3,e,5,3.4078211784362793,o,f,,,1
D,o1f2,e,5,2.2224879264831543,o,f,,,1
B,l2f2,l,4,28.718180656433105,l,f,,,1
B,o1m3,e,5,25.41239047050476,o,m,,,1
B,o3m1,e,3,26.745256185531616,o,m,,,1
B,o3m1,e,4,23.686408519744873,o,m,,,1
B,l2f2,l,4,8.365159273147583,l,f,,,1
B,o1m3,e,5,11.585561275482178,o,m,,,1
C,l1f3,l,4,16.65503454208374,l,f,,,1
C,l3f1,l,3,19.273826122283936,l,f,,,1
C,o2m2,e,2,25.09114170074463,o,m,,,1
D,l2m3,e,5,14.34208059310913,l,m,,,0
D,o1f2,e,3,10.90384030342102,o,f,,,1
D,o3f3,l,3,18.90693211555481,o,f,,,0
B,o3m1,e,5,12.355612516403198,o,m,,,1
B,l2f2,l,3,7.854570627212524,l,f,,,1
B,o1m3,e,4,8.008762121200562,o,m,,,1
B,l2f2,l,5,9.371122598648071,l,f,,,1
B,o1m3,e,3,7.462007999420166,o,m,,,1
B,o3m1,e,3,18.141224145889282,o,m,,,1
B,o3m1,l,4,32.087502002716064,o,m,,,0
B,o1m3,e,4,25.03438949584961,o,m,,,1
B,l2f2,l,2,33.25101685523987,l,f,,,1
C,o2m2,e,3,11.735405921936035,o,m,,,1
C,l3f1,l,4,16.454885959625244,l,f,,,1
C,l1f3,l,3,22.697700262069702,l,f,,,1
D,o1f2,e,5,5.675962448120117,o,f,,,1
D,o3f3,e,3,8.977320671081543,o,f,,,1
D,l2m3,l,4,15.319596290588379,l,m,,,1
